cast_id,bank_id,beat_type,source_text,worldview,context_fit,conviction_tier,branch,john,npc_reaction,scores
E17A,BANK_43735A14E7B0,OPENING,Distiller looks less worried about the birthday than the business plan attached to it.,anarchist,2,3,,No one should be bound by a business plan. Love is its own contract.,L looks disapprovingly at John.,"{""A"": 3, ""C"": 0, ""D"": 1, ""G"": -1, ""M"": -1, ""R"": 0, ""S"": 0}"
E17A,BANK_43735A14E7B0,OPENING,Distiller looks less worried about the birthday than the business plan attached to it.,religious,3,2,,The covenant binds us all. Perhaps their love is a test of faith.,L nods thoughtfully at John's words.,"{""A"": 0, ""C"": -1, ""D"": 1, ""G"": 0, ""M"": 0, ""R"": 3, ""S"": -1}"
E17A,BANK_43735A14E7B0,OPENING,Distiller looks less worried about the birthday than the business plan attached to it.,guildist,2,3,,Their business plan is a contract. Love should not be tested against it.,L looks surprised by John's words.,"{""A"": -1, ""C"": 0, ""D"": -1, ""G"": 3, ""M"": 0, ""R"": 0, ""S"": 0}"
E17A,BANK_43735A14E7B0,OPENING,Distiller looks less worried about the birthday than the business plan attached to it.,arcane,3,2,,Perhaps their love is a magical force that transcends the mundane.,L looks intrigued by John's words.,"{""A"": 0, ""C"": 0, ""D"": -1, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 3}"
E17A,BANK_43735A14E7B0,OPENING,Distiller looks less worried about the birthday than the business plan attached to it.,druidic,3,2,,Their love is a part of the land's balance. It should not be tested.,L looks thoughtful and nods at John's words.,"{""A"": 1, ""C"": 0, ""D"": 3, ""G"": -1, ""M"": 0, ""R"": 1, ""S"": -1}"
E17A,BANK_43735A14E7B0,OPENING,Distiller looks less worried about the birthday than the business plan attached to it.,cracked,4,3,,Perhaps this is all just a game. Love and business plans are just story elements.,L looks confused by John's words.,"{""A"": 0, ""C"": 3, ""D"": 0, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 1}"
E17A,BANK_4ACBFCEE647F,AFTER_A,I'll guarantee a smaller run. Prove demand before you empty my shelves.,monarchist,3,2,,I'll seek the king's favor for a smaller run. A wise ruler knows when to back enterprise.,"The Reeve nods slowly, respecting your understanding of authority.","{""A"": -1, ""C"": -1, ""D"": 0, ""G"": 0, ""M"": 3, ""R"": 0, ""S"": 0}"
E17A,BANK_4ACBFCEE647F,AFTER_A,I'll guarantee a smaller run. Prove demand before you empty my shelves.,anarchist,2,3,,I'll prove demand on my own terms. No one should rule but the people.,"The Reeve scowls, disliking your rejection of his authority.","{""A"": 3, ""C"": 0, ""D"": 1, ""G"": -1, ""M"": -1, ""R"": 0, ""S"": 0}"
E17A,BANK_4ACBFCEE647F,AFTER_A,I'll guarantee a smaller run. Prove demand before you empty my shelves.,religious,3,2,,I'll pray for guidance on a smaller run. The covenant guides those who seek.,"The Reeve smiles, appreciating your faith in the divine.","{""A"": 0, ""C"": -1, ""D"": 1, ""G"": 0, ""M"": 0, ""R"": 3, ""S"": -1}"
E17A,BANK_4ACBFCEE647F,AFTER_A,I'll guarantee a smaller run. Prove demand before you empty my shelves.,guildist,3,2,,I'll negotiate a contract for a smaller run. A wise investor knows the value of caution.,"The Reeve nods, respecting your business acumen.","{""A"": -1, ""C"": 0, ""D"": -1, ""G"": 3, ""M"": 0, ""R"": 0, ""S"": 0}"
E17A,BANK_4ACBFCEE647F,AFTER_A,I'll guarantee a smaller run. Prove demand before you empty my shelves.,arcane,3,2,,I'll cast a spell to ensure a smaller run. Power must be used wisely.,"The Reeve looks impressed, intrigued by your arcane abilities.","{""A"": 0, ""C"": 0, ""D"": -1, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 3}"
E17A,BANK_4ACBFCEE647F,AFTER_A,I'll guarantee a smaller run. Prove demand before you empty my shelves.,druidic,3,2,,I'll consult with nature on a smaller run. Balance is essential.,The Reeve looks puzzled but intrigued by your connection to the land.,"{""A"": 1, ""C"": 0, ""D"": 3, ""G"": -1, ""M"": 0, ""R"": 1, ""S"": -1}"
E17A,BANK_4ACBFCEE647F,AFTER_A,I'll guarantee a smaller run. Prove demand before you empty my shelves.,cracked,3,4,,"I'll simulate a smaller run. Reality is just a game, after all.",The Reeve looks confused and concerned by your detachment from reality.,"{""A"": 0, ""C"": 3, ""D"": 0, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 1}"
E17A,BANK_5A1477281DD7,DECISION,Reeve says Storekeeper can guarantee the stock if a disused pitch is secured and cleared.,monarchist,3,2,A,"Reeve's words remind me of the throne. If we can secure a guarantee from Storekeeper, perhaps it would be wise to negotiate terms.","Reeve nods, 'It may take some negotiation, but I am certain it is possible.'","{""A"": -1, ""C"": -1, ""D"": 0, ""G"": 0, ""M"": 3, ""R"": 0, ""S"": 0}"
E17A,BANK_5A1477281DD7,DECISION,Reeve says Storekeeper can guarantee the stock if a disused pitch is secured and cleared.,anarchist,3,2,B,Clearing the pitch ourselves shows our commitment and strength. Let's prove we don't need guarantees to succeed.,"Miner grins, 'Aye, let's show 'em what we're made of.'","{""A"": 3, ""C"": 0, ""D"": 1, ""G"": -1, ""M"": -1, ""R"": 0, ""S"": 0}"
E17A,BANK_5A1477281DD7,DECISION,Reeve says Storekeeper can guarantee the stock if a disused pitch is secured and cleared.,religious,3,2,B,"The pitch is a test from the gods. If we prove our worth and reclaim it, Miner's workshop will thrive.","Priestess murmurs, 'May the gods be with you.'","{""A"": 0, ""C"": -1, ""D"": 1, ""G"": 0, ""M"": 0, ""R"": 3, ""S"": -1}"
E17A,BANK_5A1477281DD7,DECISION,Reeve says Storekeeper can guarantee the stock if a disused pitch is secured and cleared.,guildist,2,2,A,Negotiating terms with Storekeeper seems like a more practical approach.,"Merchant smiles, 'I've always found the right deal can solve most problems.'","{""A"": -1, ""C"": 0, ""D"": -1, ""G"": 3, ""M"": 0, ""R"": 0, ""S"": 0}"
E17A,BANK_5A1477281DD7,DECISION,Reeve says Storekeeper can guarantee the stock if a disused pitch is secured and cleared.,arcane,3,2,B,"The pitch is a test of our magical prowess. If we can clear it, we demonstrate our worth as leaders.","Mage nods, 'I sense great power in that abandoned place.'","{""A"": 0, ""C"": 0, ""D"": -1, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 3}"
E17A,BANK_5A1477281DD7,DECISION,Reeve says Storekeeper can guarantee the stock if a disused pitch is secured and cleared.,druidic,3,2,B,The pitch is a part of the land's balance. Reclaiming it will ensure its health and Miner's success.,"Elder whispers, 'May our actions honor the earth.'","{""A"": 1, ""C"": 0, ""D"": 3, ""G"": -1, ""M"": 0, ""R"": 1, ""S"": -1}"
E17A,BANK_5A1477281DD7,DECISION,Reeve says Storekeeper can guarantee the stock if a disused pitch is secured and cleared.,cracked,3,4,A,Securing a guarantee from Storekeeper feels like another scripted event. Perhaps it's time to experiment with the system.,"Reeve raises an eyebrow, 'I've never heard anyone speak like that before.'","{""A"": 0, ""C"": 3, ""D"": 0, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 1}"
E17A,BANK_5E5C36E9AC97,OPENING,Storekeeper is counting stock because apparently romance has become an inventory question.,monarchist,2,1,,The Reeve's concerns are valid. Order must be maintained for the greater good.,"Ah, John. A true believer in our traditions.","{""A"": -1, ""C"": -1, ""D"": 0, ""G"": 0, ""M"": 3, ""R"": 0, ""S"": 0}"
E17A,BANK_5E5C36E9AC97,OPENING,Storekeeper is counting stock because apparently romance has become an inventory question.,anarchist,2,1,,The expansion is a power grab. They should let the people decide.,"A radical idea, but it has merit.","{""A"": 3, ""C"": 0, ""D"": 1, ""G"": -1, ""M"": -1, ""R"": 0, ""S"": 0}"
E17A,BANK_5E5C36E9AC97,OPENING,Storekeeper is counting stock because apparently romance has become an inventory question.,religious,2,1,,The gods are testing us. We must stand firm against the expansion.,"As always, John's faith is unwavering.","{""A"": 0, ""C"": -1, ""D"": 1, ""G"": 0, ""M"": 0, ""R"": 3, ""S"": -1}"
E17A,BANK_5E5C36E9AC97,OPENING,Storekeeper is counting stock because apparently romance has become an inventory question.,guildist,2,1,,The expansion threatens our prosperity. We need to protect our interests.,John has a point. Our livelihoods are at stake.,"{""A"": -1, ""C"": 0, ""D"": -1, ""G"": 3, ""M"": 0, ""R"": 0, ""S"": 0}"
E17A,BANK_5E5C36E9AC97,OPENING,Storekeeper is counting stock because apparently romance has become an inventory question.,arcane,2,1,,The expansion is a test of our magical might. We must prove ourselves.,John's powers are indeed formidable.,"{""A"": 0, ""C"": 0, ""D"": -1, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 3}"
E17A,BANK_5E5C36E9AC97,OPENING,Storekeeper is counting stock because apparently romance has become an inventory question.,druidic,2,1,,The expansion disrupts the balance of nature. We must oppose it.,John's concern for the land is commendable.,"{""A"": 1, ""C"": 0, ""D"": 3, ""G"": -1, ""M"": 0, ""R"": 1, ""S"": -1}"
E17A,BANK_5E5C36E9AC97,OPENING,Storekeeper is counting stock because apparently romance has become an inventory question.,cracked,3,1,,This is all just a game. The expansion doesn't matter.,John... I fear you may be losing touch with reality.,"{""A"": 0, ""C"": 3, ""D"": 0, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 1}"
E17A,BANK_8B4A90595300,AFTER_A,Bring me the plan and I'll judge the plan.,monarchist,2,1,,The plan is sound. Let us present it to the council.,"Tina raises an eyebrow but nods, 'Let's make sure we have their ear.'","{""A"": -1, ""C"": -1, ""D"": 0, ""G"": 0, ""M"": 3, ""R"": 0, ""S"": 0}"
E17A,BANK_8B4A90595300,AFTER_A,Bring me the plan and I'll judge the plan.,anarchist,2,1,,We'll show them the plan works without their approval.,"Pete looks concerned, 'But we need the council's support to avoid a backlash.'","{""A"": 3, ""C"": 0, ""D"": 1, ""G"": -1, ""M"": -1, ""R"": 0, ""S"": 0}"
E17A,BANK_8B4A90595300,AFTER_A,Bring me the plan and I'll judge the plan.,religious,2,1,,The gods will guide us. We must have faith.,"Tina rolls her eyes but smiles, 'I'll pray for miracles.'","{""A"": 0, ""C"": -1, ""D"": 1, ""G"": 0, ""M"": 0, ""R"": 3, ""S"": -1}"
E17A,BANK_8B4A90595300,AFTER_A,Bring me the plan and I'll judge the plan.,guildist,2,1,,Let's negotiate the best deal with the council.,"Pete nods, 'I'll make sure we get a fair contract.'","{""A"": -1, ""C"": 0, ""D"": -1, ""G"": 3, ""M"": 0, ""R"": 0, ""S"": 0}"
E17A,BANK_8B4A90595300,AFTER_A,Bring me the plan and I'll judge the plan.,arcane,3,2,,"With my powers, I can sway the council to our side.","Tina looks uneasy, 'I hope your magic doesn't attract unwanted attention.'","{""A"": 0, ""C"": 0, ""D"": -1, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 3}"
E17A,BANK_8B4A90595300,AFTER_A,Bring me the plan and I'll judge the plan.,druidic,3,2,,The land will provide a solution if we listen.,"Pete sighs, 'I wish you'd consult the council instead.'","{""A"": 1, ""C"": 0, ""D"": 3, ""G"": -1, ""M"": 0, ""R"": 1, ""S"": -1}"
E17A,BANK_8B4A90595300,AFTER_A,Bring me the plan and I'll judge the plan.,cracked,4,3,,The council is just a scripted obstacle. Let's move on.,"Tina looks worried, 'Are you sure we should ignore them?'","{""A"": 0, ""C"": 3, ""D"": 0, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 1}"
E17A,BANK_8DE2296F4264,TRAGIC_END,The market argument began with a licence and ended with a body below the loading platform.,monarchist,3,1,,The market's order demands a balance. A life is a small price for stability.,"The Reeve nods gravely, 'A heavy price, but one that keeps the village whole.'","{""A"": -1, ""C"": -1, ""D"": 0, ""G"": 0, ""M"": 3, ""R"": 0, ""S"": 0}"
E17A,BANK_8DE2296F4264,TRAGIC_END,The market argument began with a licence and ended with a body below the loading platform.,anarchist,2,1,,The market's violence shows it needs no master. Let it collapse.,"The Miller frowns, 'You speak of chaos where I see freedom.'","{""A"": 3, ""C"": 0, ""D"": 1, ""G"": -1, ""M"": -1, ""R"": 0, ""S"": 0}"
E17A,BANK_8DE2296F4264,TRAGIC_END,The market argument began with a licence and ended with a body below the loading platform.,religious,3,1,,The market's cruelty is a test from the gods. We must prove our worth.,"The Householder bows her head, 'May we find wisdom in this trial.'","{""A"": 0, ""C"": -1, ""D"": 1, ""G"": 0, ""M"": 0, ""R"": 3, ""S"": -1}"
E17A,BANK_8DE2296F4264,TRAGIC_END,The market argument began with a licence and ended with a body below the loading platform.,guildist,3,1,,The market's tragedy is a reminder of the risks we take for progress.,"The Storekeeper sighs, 'Progress often demands sacrifice.'","{""A"": -1, ""C"": 0, ""D"": -1, ""G"": 3, ""M"": 0, ""R"": 0, ""S"": 0}"
E17A,BANK_8DE2296F4264,TRAGIC_END,The market argument began with a licence and ended with a body below the loading platform.,arcane,2,1,,The market's chaos is a tale spun by the forces unseen.,"The Miller shakes his head, 'Fantasy won't feed the village.'","{""A"": 0, ""C"": 0, ""D"": -1, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 3}"
E17A,BANK_8DE2296F4264,TRAGIC_END,The market argument began with a licence and ended with a body below the loading platform.,druidic,2,1,,The market's imbalance disrupts the natural order.,"The Householder nods, 'We must restore balance to our world.'","{""A"": 1, ""C"": 0, ""D"": 3, ""G"": -1, ""M"": 0, ""R"": 1, ""S"": -1}"
E17A,BANK_8DE2296F4264,TRAGIC_END,The market argument began with a licence and ended with a body below the loading platform.,cracked,3,1,,The market's tragedy is a scripted event in this grand play.,"The Reeve stares at you, 'Your words are cold and strange.'","{""A"": 0, ""C"": 3, ""D"": 0, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 1}"
E17A,BANK_9A3A40FD8692,DECISION,Distiller says Reeve has warned the market licence will be refused unless the expansion has guaranteed stock.,monarchist,1,2,A,The throne must be informed of this matter. Let us ensure our plans are in line with the kingdom's interests.,"Reeve nods gravely, understanding your need for guidance.","{""A"": -1, ""C"": -1, ""D"": 0, ""G"": 0, ""M"": 3, ""R"": 0, ""S"": 0}"
E17A,BANK_9A3A40FD8692,DECISION,Distiller says Reeve has warned the market licence will be refused unless the expansion has guaranteed stock.,anarchist,1,2,B,Let's not bow to threats. We must find a way to prove our plan is sound without compromising.,"Tina looks relieved, knowing you stand firm against coercion.","{""A"": 3, ""C"": 0, ""D"": 1, ""G"": -1, ""M"": -1, ""R"": 0, ""S"": 0}"
E17A,BANK_9A3A40FD8692,DECISION,Distiller says Reeve has warned the market licence will be refused unless the expansion has guaranteed stock.,religious,1,2,A,"Let us appeal to the divine providence, and demonstrate our plan's merit in God's eyes.","Reeve shows a hint of faith, acknowledging your devotion.","{""A"": 0, ""C"": -1, ""D"": 1, ""G"": 0, ""M"": 0, ""R"": 3, ""S"": -1}"
E17A,BANK_9A3A40FD8692,DECISION,Distiller says Reeve has warned the market licence will be refused unless the expansion has guaranteed stock.,guildist,1,2,B,We must negotiate a fair contract that protects our interests and satisfies the market's concerns.,Tina appreciates your business acumen and pragmatism.,"{""A"": -1, ""C"": 0, ""D"": -1, ""G"": 3, ""M"": 0, ""R"": 0, ""S"": 0}"
E17A,BANK_9A3A40FD8692,DECISION,Distiller says Reeve has warned the market licence will be refused unless the expansion has guaranteed stock.,arcane,1,3,A,"If the market fears our expansion, let us demonstrate our magical prowess and allay their concerns.","Reeve looks impressed, recognizing your potential as a leader.","{""A"": 0, ""C"": 0, ""D"": -1, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 3}"
E17A,BANK_9A3A40FD8692,DECISION,Distiller says Reeve has warned the market licence will be refused unless the expansion has guaranteed stock.,druidic,1,3,B,We must find a balance that respects nature's limits and ensures our expansion is sustainable.,"Tina smiles, appreciating your concern for the land.","{""A"": 1, ""C"": 0, ""D"": 3, ""G"": -1, ""M"": 0, ""R"": 1, ""S"": -1}"
E17A,BANK_9A3A40FD8692,DECISION,Distiller says Reeve has warned the market licence will be refused unless the expansion has guaranteed stock.,cracked,1,4,A,"This feels like a scripted conflict. Perhaps if we play our parts well, the market will grant us a licence.","Reeve looks confused, unsure how to respond to your strange observation.","{""A"": 0, ""C"": 3, ""D"": 0, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 1}"
E17A,BANK_A0CD7D1FC259,OPENING,Distiller looks less worried about the birthday than the business plan attached to it.,monarchist,3,2,,The throne must be secured before celebrations.,"H nods, understanding the importance of duty.","{""A"": -1, ""C"": -1, ""D"": 0, ""G"": 0, ""M"": 3, ""R"": 0, ""S"": 0}"
E17A,BANK_A0CD7D1FC259,OPENING,Distiller looks less worried about the birthday than the business plan attached to it.,anarchist,2,3,,No one should dictate how I celebrate.,"H raises an eyebrow, sensing John's rebellious spirit.","{""A"": 3, ""C"": 0, ""D"": 1, ""G"": -1, ""M"": -1, ""R"": 0, ""S"": 0}"
E17A,BANK_A0CD7D1FC259,OPENING,Distiller looks less worried about the birthday than the business plan attached to it.,religious,3,2,,This day is a test of our faith.,H respects John's devotion but keeps his skepticism.,"{""A"": 0, ""C"": -1, ""D"": 1, ""G"": 0, ""M"": 0, ""R"": 3, ""S"": -1}"
E17A,BANK_A0CD7D1FC259,OPENING,Distiller looks less worried about the birthday than the business plan attached to it.,guildist,2,3,,The investment will determine the value of this bond.,H rolls his eyes at John's pragmatism.,"{""A"": -1, ""C"": 0, ""D"": -1, ""G"": 3, ""M"": 0, ""R"": 0, ""S"": 0}"
E17A,BANK_A0CD7D1FC259,OPENING,Distiller looks less worried about the birthday than the business plan attached to it.,arcane,3,2,,The power dynamic here is clear as day.,H looks at John with a mix of curiosity and caution.,"{""A"": 0, ""C"": 0, ""D"": -1, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 3}"
E17A,BANK_A0CD7D1FC259,OPENING,Distiller looks less worried about the birthday than the business plan attached to it.,druidic,3,2,,Let's not disrupt the balance of nature.,H looks at John with a mix of confusion and respect.,"{""A"": 1, ""C"": 0, ""D"": 3, ""G"": -1, ""M"": 0, ""R"": 1, ""S"": -1}"
E17A,BANK_A0CD7D1FC259,OPENING,Distiller looks less worried about the birthday than the business plan attached to it.,cracked,4,3,,"This is all just a script, isn't it?","H stares at John, unsure how to respond.","{""A"": 0, ""C"": 3, ""D"": 0, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 1}"
E17A,BANK_A28CC9FCD484,OPENING,Miner has announced being eighteen to everyone except the chickens.,monarchist,3,1,,Miner's announcement marks a passage of duty and responsibility. The chickens need not concern themselves.,"The Miller nods, agreeing with John's sentiment.","{""A"": -1, ""C"": -1, ""D"": 0, ""G"": 0, ""M"": 3, ""R"": 0, ""S"": 0}"
E17A,BANK_A28CC9FCD484,OPENING,Miner has announced being eighteen to everyone except the chickens.,anarchist,2,1,,Miner is now an adult in his own eyes. Let the village decide if he's worthy of its trust.,The Householder considers John's words thoughtfully.,"{""A"": 3, ""C"": 0, ""D"": 1, ""G"": -1, ""M"": -1, ""R"": 0, ""S"": 0}"
E17A,BANK_A28CC9FCD484,OPENING,Miner has announced being eighteen to everyone except the chickens.,religious,2,1,,Miner's declaration is a test of maturity and character. Let the gods guide us.,The Priestess listens to John's words with respect.,"{""A"": 0, ""C"": -1, ""D"": 1, ""G"": 0, ""M"": 0, ""R"": 3, ""S"": -1}"
E17A,BANK_A28CC9FCD484,OPENING,Miner has announced being eighteen to everyone except the chickens.,guildist,2,1,,Miner's announcement is a step towards autonomy and accountability. Let the market decide.,The Merchant regards John with interest.,"{""A"": -1, ""C"": 0, ""D"": -1, ""G"": 3, ""M"": 0, ""R"": 0, ""S"": 0}"
E17A,BANK_A28CC9FCD484,OPENING,Miner has announced being eighteen to everyone except the chickens.,arcane,3,1,,Miner's announcement is a display of power and potential. Let the powerful decide.,The Mage considers John's words carefully.,"{""A"": 0, ""C"": 0, ""D"": -1, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 3}"
E17A,BANK_A28CC9FCD484,OPENING,Miner has announced being eighteen to everyone except the chickens.,druidic,2,1,,Miner's announcement disrupts the balance. Let nature guide us towards harmony.,The Druid ponders John's words.,"{""A"": 1, ""C"": 0, ""D"": 3, ""G"": -1, ""M"": 0, ""R"": 1, ""S"": -1}"
E17A,BANK_A28CC9FCD484,OPENING,Miner has announced being eighteen to everyone except the chickens.,cracked,4,1,,Miner's announcement is a scripted event in this grand play. Let the story unfold.,The Seer raises an eyebrow at John's peculiar remark.,"{""A"": 0, ""C"": 3, ""D"": 0, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 1}"
E17A,BANK_A5B3665CD495,NORMAL_END,Miner got treated as an adult once the proposal had adult numbers attached to it.,monarchist,3,2,,"The throne demands respect for all who contribute, regardless of age.","A fair point, but the numbers do matter in this case.","{""A"": -1, ""C"": -1, ""D"": 0, ""G"": 0, ""M"": 3, ""R"": 0, ""S"": 0}"
E17A,BANK_A5B3665CD495,NORMAL_END,Miner got treated as an adult once the proposal had adult numbers attached to it.,anarchist,2,3,,"Let's judge the plan by its merits, not a number on a birth certificate.","Wise words. But remember, numbers can also represent power.","{""A"": 3, ""C"": 0, ""D"": 1, ""G"": -1, ""M"": -1, ""R"": 0, ""S"": 0}"
E17A,BANK_A5B3665CD495,NORMAL_END,Miner got treated as an adult once the proposal had adult numbers attached to it.,religious,2,3,,Let us not forget that maturity is a virtue granted by the covenant.,"You speak truly. But sometimes, age brings wisdom too.","{""A"": 0, ""C"": -1, ""D"": 1, ""G"": 0, ""M"": 0, ""R"": 3, ""S"": -1}"
E17A,BANK_A5B3665CD495,NORMAL_END,Miner got treated as an adult once the proposal had adult numbers attached to it.,guildist,3,2,,Adulthood is about contracts and obligations. It's time we treated Miner as such.,"A valid perspective, but remember that contracts are forged with respect.","{""A"": -1, ""C"": 0, ""D"": -1, ""G"": 3, ""M"": 0, ""R"": 0, ""S"": 0}"
E17A,BANK_A5B3665CD495,NORMAL_END,Miner got treated as an adult once the proposal had adult numbers attached to it.,arcane,2,3,,The true measure of adulthood is the power to shape our destiny.,"Your words resonate. But beware, power can corrupt as well as create.","{""A"": 0, ""C"": 0, ""D"": -1, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 3}"
E17A,BANK_A5B3665CD495,NORMAL_END,Miner got treated as an adult once the proposal had adult numbers attached to it.,druidic,3,2,,Nature demands balance. Miner's potential should be recognized and nurtured.,"A noble thought. But remember, balance often requires sacrifice.","{""A"": 1, ""C"": 0, ""D"": 3, ""G"": -1, ""M"": 0, ""R"": 1, ""S"": -1}"
E17A,BANK_A5B3665CD495,NORMAL_END,Miner got treated as an adult once the proposal had adult numbers attached to it.,cracked,3,4,,"In this grand play, perhaps age is but a prop.","An intriguing perspective. But in life, props can have real consequences.","{""A"": 0, ""C"": 3, ""D"": 0, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 1}"
